"x","y","sst","chlo"
152.5,82.5,0.00669814799843287,0.0249675592100593
157.5,82.5,0.00103368053245099,0.00394922219768718
162.5,82.5,-0.00316701381810061,0.00298198880869205
167.5,82.5,-0.00212928235981424,0.00044449038406903
172.5,82.5,-0.00376446750845018,0.000673910638110505
177.5,82.5,-0.00147013885602872,0.000978472280074601
-177.5,77.5,0.304191891348929,0.0341323824983987
-172.5,77.5,0.15349606138391,0.0277772002853453
-167.5,77.5,0.0776568269679383,0.0291179131523327
-162.5,77.5,0.0444553230804201,0.0265046347429355
-157.5,77.5,0.04401400364584,0.0286444004176667
-152.5,77.5,0.00126967589754646,0.0224861126979468
-147.5,77.5,-0.0187089116188603,0.018448170637022
-142.5,77.5,-0.0154912033574483,0.0145501147320977
-137.5,77.5,-0.00703067113914855,0.0100513493797431
-132.5,77.5,-0.00390636565342666,0.00997658199665171
-127.5,77.5,-0.00392256935676819,0.0148376955217854
-122.5,77.5,0.0143134256059959,0.0362690319217466
-117.5,77.5,0.0181912032970986,0.0421360590239918
-112.5,77.5,-0.00985555533526672,0.0237454555763139
-107.5,77.5,-0.0163600690787684,0.0201215780923074
-102.5,77.5,-0.00785775445399513,0.0490026365746572
-97.5,77.5,0.00189363421693324,0.0926188916295629
-92.5,77.5,0.0514494201463121,0.105494785974216
-87.5,77.5,0.101709372726618,0.117993343138239
-82.5,77.5,0.0517844895832672,0.0727310250742637
-77.5,77.5,0.128731362863371,0.174040230632656
-72.5,77.5,0.266988535699008,0.339272585763872
-67.5,77.5,0.159988538090644,0.134050402711663
-62.5,77.5,0.1484815939034,0.0336647295705215
-57.5,77.5,0.0248464114816765,0.00866625241176398
-52.5,77.5,NA,NA
-47.5,77.5,NA,NA
-42.5,77.5,NA,NA
-37.5,77.5,NA,NA
-32.5,77.5,NA,NA
-27.5,77.5,NA,NA
-22.5,77.5,NA,NA
-17.5,77.5,0.08004768339598,0.114638381851147
-12.5,77.5,0.0914809007330203,0.129978245238567
